epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.828125,0.4433043897151947,,
0,99,0.953125,0.1594853550195694,,
0,149,0.9375,0.19431406259536743,,
0,199,0.953125,0.10391708463430405,,
0,249,0.984375,0.061657488346099854,,
0,299,0.9375,0.22649624943733215,,
0,349,0.96875,0.2182110846042633,,
0,399,0.953125,0.2125062346458435,,
0,449,0.984375,0.04701108857989311,,
0,499,0.921875,0.10594069212675095,,
0,549,0.984375,0.05528547614812851,,
0,599,0.984375,0.06249605864286423,,
0,649,0.984375,0.09351430088281631,,
0,699,0.984375,0.06907548755407333,,
0,749,0.984375,0.06489980220794678,,
0,799,0.96875,0.10167426615953445,,
0,849,0.96875,0.14843004941940308,,
0,899,0.96875,0.08906324207782745,,
0,936,,,0.9853765964508057,0.046093687415122986
1,949,0.984375,0.05793388560414314,,
1,999,0.984375,0.023666273802518845,,
1,1049,1.0,0.018389824777841568,,
1,1099,1.0,0.002503475174307823,,
1,1149,0.984375,0.03495684638619423,,
1,1199,0.984375,0.08349521458148956,,
1,1249,0.984375,0.03353431448340416,,
1,1299,0.984375,0.03856704384088516,,
1,1349,0.984375,0.019521325826644897,,
1,1399,1.0,0.004105824511498213,,
1,1449,0.96875,0.07687348872423172,,
1,1499,0.984375,0.0628453716635704,,
1,1549,0.984375,0.02322245202958584,,
1,1599,0.96875,0.11046367138624191,,
1,1649,0.96875,0.09187895804643631,,
1,1699,1.0,0.0025730051565915346,,
1,1749,0.984375,0.022622166201472282,,
1,1799,1.0,0.0035430805291980505,,
1,1849,0.984375,0.02897234633564949,,
1,1873,,,0.9915865659713745,0.026771508157253265
2,1899,1.0,0.006756726652383804,,
2,1949,1.0,0.0013038436882197857,,
2,1999,0.984375,0.16230596601963043,,
2,2049,1.0,0.01057749055325985,,
2,2099,0.984375,0.0870840921998024,,
2,2149,0.96875,0.06163491681218147,,
2,2199,1.0,0.005991819314658642,,
2,2249,0.96875,0.03184090927243233,,
2,2299,0.96875,0.06727336347103119,,
2,2349,1.0,0.003971173893660307,,
2,2399,0.984375,0.059803079813718796,,
2,2449,1.0,0.003190128831192851,,
2,2499,0.984375,0.053934186697006226,,
2,2549,0.984375,0.1540432870388031,,
2,2599,1.0,0.010278292000293732,,
2,2649,0.953125,0.16375955939292908,,
2,2699,1.0,0.004771072883158922,,
2,2749,0.984375,0.020548079162836075,,
2,2799,1.0,0.0031178556382656097,,
2,2810,,,0.991286039352417,0.026286453008651733
3,2849,1.0,0.004395914264023304,,
3,2899,1.0,0.002243601717054844,,
3,2949,0.984375,0.027106977999210358,,
3,2999,0.984375,0.038377463817596436,,
3,3049,0.984375,0.015349926427006721,,
3,3099,1.0,0.01529036182910204,,
3,3149,0.984375,0.03180522844195366,,
3,3199,1.0,0.004305543843656778,,
3,3249,1.0,0.00543985003605485,,
3,3299,0.96875,0.03448780998587608,,
3,3349,1.0,0.0030262386426329613,,
3,3399,1.0,0.0008323255460709333,,
3,3449,0.984375,0.06773723661899567,,
3,3499,1.0,0.006345204543322325,,
3,3549,0.984375,0.042233794927597046,,
3,3599,0.984375,0.02252715453505516,,
3,3649,1.0,0.01319702435284853,,
3,3699,0.984375,0.04282457381486893,,
3,3747,,,0.9914863705635071,0.02905949577689171
4,3749,1.0,0.0028028530068695545,,
4,3799,1.0,0.0017796853790059686,,
4,3849,1.0,0.0007157109212130308,,
4,3899,1.0,0.008945941925048828,,
4,3949,1.0,0.002553151687607169,,
4,3999,0.984375,0.03805726021528244,,
4,4049,0.984375,0.02792643941938877,,
4,4099,1.0,0.0018927579512819648,,
4,4149,1.0,0.004432574845850468,,
4,4199,1.0,0.0017276615835726261,,
4,4249,1.0,0.0007663680007681251,,
4,4299,1.0,0.0003651022561825812,,
4,4349,0.984375,0.027439238503575325,,
4,4399,1.0,0.0011785341193899512,,
4,4449,0.984375,0.034955721348524094,,
4,4499,0.984375,0.020937418565154076,,
4,4549,0.984375,0.07707223296165466,,
4,4599,1.0,0.007360249757766724,,
4,4649,0.984375,0.04450173303484917,,
4,4684,,,0.9920873641967773,0.023787884041666985
